Graph
Time (Seconds),x (Meters),y (Meters),z (Meters)
21.949999,0.145246,0.512494,0.004830
22.000000,0.144100,0.513347,0.004824
22.049999,0.142903,0.514196,0.004830
22.099998,0.141790,0.515054,0.004835
22.150000,0.140669,0.515843,0.004831
22.199999,0.139477,0.516753,0.004831
22.250000,0.138321,0.517618,0.004831
22.299999,0.137076,0.518407,0.004829
22.349998,0.135928,0.519228,0.004829
22.400000,0.134726,0.519994,0.004825
22.449999,0.133520,0.520781,0.004829
22.500000,0.132366,0.521547,0.004826
22.549999,0.131136,0.522356,0.004829
22.599998,0.130000,0.523135,0.004821
22.650000,0.128833,0.523987,0.004833
22.699999,0.127694,0.524795,0.004828
22.750000,0.126469,0.525418,0.004820
22.799999,0.125227,0.526248,0.004833
22.849998,0.124123,0.527018,0.004814
22.900000,0.122877,0.527819,0.004830
22.949999,0.121764,0.528555,0.004821
23.000000,0.120621,0.529264,0.004813
23.049999,0.119441,0.529976,0.004813
23.099998,0.118073,0.530760,0.004831
23.150000,0.116815,0.531454,0.004825
23.199999,0.115580,0.532139,0.004827
23.250000,0.114280,0.532864,0.004820
23.299999,0.113127,0.533533,0.004829
23.349998,0.111890,0.534240,0.004825
23.400000,0.110621,0.534884,0.004820
23.449999,0.109102,0.535513,0.004829
23.500000,0.107708,0.536131,0.004822
23.549999,0.106351,0.536858,0.004828
23.599998,0.105021,0.537452,0.004825
23.650000,0.103655,0.538039,0.004822
23.699999,0.102412,0.538687,0.004820
23.750000,0.101130,0.539353,0.004829
23.799999,0.099822,0.540002,0.004831
23.849998,0.098587,0.540544,0.004825
23.900000,0.097271,0.541246,0.004828
23.949999,0.095926,0.541842,0.004820
24.000000,0.094689,0.542442,0.004832
24.049999,0.093351,0.543015,0.004827
24.099998,0.091929,0.543533,0.004826
24.150000,0.090694,0.544130,0.004822
24.199999,0.089407,0.544689,0.004820
24.250000,0.087882,0.545258,0.004832
24.299999,0.086539,0.545710,0.004816
24.349998,0.085270,0.546221,0.004813
